totalcountprotected,totalCountInsurance,totalPriceInsurance
0.228,0.996,0.002008032128514056
0.228,0.996,0.008032128514056224
0.228,0.996,0.007028112449799197
0.228,0.996,0.009036144578313253
0.228,0.996,0.019076305220883535
0.228,0.996,0.015060240963855422
0.228,0.996,0.030120481927710843
0.228,0.996,0.013052208835341365
0.228,0.996,0.008032128514056224
0.228,0.996,0.006024096385542169
0.228,0.996,0.01706827309236948
0.228,0.996,0.01706827309236948
0.228,0.996,0.01706827309236948
0.228,0.996,0.028112449799196786
0.228,0.996,0.014056224899598393
0.228,0.996,0.007028112449799197
0.228,0.996,0.013052208835341365
0.228,0.996,0.030120481927710843
0.228,0.996,0.008032128514056224
0.228,0.996,0.007028112449799197
0.228,0.996,0.01606425702811245
0.228,0.996,0.028112449799196786
0.228,0.996,0.0321285140562249
0.228,0.996,0.02710843373493976
0.228,0.996,0.030120481927710843
0.228,0.996,0.006024096385542169
0.228,0.996,0.006024096385542169
0.228,0.996,0.002008032128514056
0.228,0.996,0.007028112449799197
0.228,0.996,0.007028112449799197
0.228,0.996,0.01104417670682731
0.228,0.996,0.008032128514056224
0.228,0.996,0.018072289156626505
0.228,0.996,0.012048192771084338
0.228,0.996,0.009036144578313253
0.228,0.996,0.02208835341365462
0.228,0.996,0.02610441767068273
0.228,0.996,0.008032128514056224
0.228,0.996,0.008032128514056224
0.228,0.996,0.015060240963855422
0.228,0.996,0.025100401606425703
0.228,0.996,0.0050200803212851405
0.228,0.996,0.01104417670682731
0.228,0.996,0.008032128514056224
0.228,0.996,0.012048192771084338
0.228,0.996,0.010040160642570281
0.228,0.996,0.01104417670682731
0.228,0.996,0.018072289156626505
0.228,0.996,0.03112449799196787
0.228,0.996,0.04718875502008032
0.228,0.996,0.03413654618473896
0.228,0.996,0.03413654618473896
0.228,0.996,0.04216867469879518
0.228,0.996,0.06325301204819277
0.228,0.996,0.050200803212851405
0.228,0.996,0.024096385542168676
0.228,0.996,0.050200803212851405
0.228,0.996,0.04618473895582329
0.228,0.996,0.004016064257028112
0.228,0.996,0.009036144578313253
0.228,0.996,0.009036144578313253
0.228,0.996,0.023092369477911646
0.228,0.996,0.015060240963855422
0.228,0.996,0.028112449799196786
0.228,0.996,0.045180722891566265
0.228,0.996,0.004016064257028112
0.228,0.996,0.006024096385542169
0.228,0.996,0.01104417670682731
0.228,0.996,0.0050200803212851405
0.228,0.996,0.006024096385542169
0.228,0.996,0.013052208835341365
0.228,0.996,0.004016064257028112
0.228,0.996,0.006024096385542169
0.228,0.996,0.004016064257028112
0.228,0.996,0.0050200803212851405
0.228,0.996,0.002008032128514056
0.228,0.996,0.006024096385542169
0.228,0.996,0.015060240963855422
0.228,0.996,0.019076305220883535
0.228,0.996,0.010040160642570281
0.228,0.996,0.008032128514056224
0.228,0.996,0.012048192771084338
0.228,0.996,0.018072289156626505
0.228,0.996,0.0050200803212851405
0.228,0.996,0.010040160642570281
0.228,0.996,0.01606425702811245
0.228,0.996,0.035140562248995984
0.228,0.996,0.03714859437751004
0.228,0.996,0.02710843373493976
0.228,0.996,0.02710843373493976
0.228,0.996,0.006024096385542169
0.228,0.996,0.006024096385542169
0.228,0.996,0.006024096385542169
0.228,0.996,0.009036144578313253
0.228,0.996,0.014056224899598393
0.228,0.996,0.020080321285140562
0.228,0.996,0.01104417670682731
0.228,0.996,0.030120481927710843
0.228,0.996,0.02108433734939759
0.228,0.996,0.01104417670682731
0.228,0.996,0.023092369477911646
0.228,0.996,0.025100401606425703
0.228,0.996,0.0321285140562249
0.228,0.996,0.029116465863453816
0.228,0.996,0.03313253012048193
0.228,0.996,0.004016064257028112
0.228,0.996,0.015060240963855422
0.228,0.996,0.015060240963855422
0.228,0.996,0.007028112449799197
0.228,0.996,0.012048192771084338
0.228,0.996,0.01706827309236948
0.228,0.996,0.01606425702811245
0.228,0.996,0.03614457831325301
0.228,0.996,0.009036144578313253
0.228,0.996,0.008032128514056224
0.228,0.996,0.018072289156626505
0.228,0.996,0.010040160642570281
0.228,0.996,0.015060240963855422
0.228,0.996,0.035140562248995984
0.228,0.996,0.045180722891566265
0.228,0.996,0.050200803212851405
0.228,0.996,0.05622489959839357
0.228,0.996,0.02108433734939759
0.228,0.996,0.010040160642570281
0.228,0.996,0.008032128514056224
0.228,0.996,0.008032128514056224
0.228,0.996,0.01104417670682731
0.228,0.996,0.006024096385542169
0.228,0.996,0.012048192771084338
0.228,0.996,0.008032128514056224
0.228,0.996,0.01706827309236948
0.228,0.996,0.023092369477911646
0.228,0.996,0.0050200803212851405
0.228,0.996,0.006024096385542169
0.228,0.996,0.008032128514056224
0.228,0.996,0.018072289156626505
0.228,0.996,0.029116465863453816
0.228,0.996,0.029116465863453816
0.228,0.996,0.018072289156626505
0.228,0.996,0.02208835341365462
0.228,0.996,0.02208835341365462
0.228,0.996,0.028112449799196786
